class,superfamily,family
DNA transposon,Mariner/Tc1,
DNA transposon,hAT,
DNA transposon,MuDR,
DNA transposon,EnSpm/CACTA,
DNA transposon,piggyBac,
DNA transposon,P,
DNA transposon,Merlin,
DNA transposon,Harbinger,
DNA transposon,Transib,
DNA transposon,Novosib,
DNA transposon,Helitron,
DNA transposon,Polinton,
DNA transposon,Kolobok,
DNA transposon,ISL2EU,
DNA transposon,Crypton,CryptonA
DNA transposon,Crypton,CryptonF
DNA transposon,Crypton,CryptonI
DNA transposon,Crypton,CryptonS
DNA transposon,Crypton,CryptonV
DNA transposon,Sola,Sola1
DNA transposon,Sola,Sola2
DNA transposon,Sola,Sola3
DNA transposon,Zator,
DNA transposon,Ginger1,
DNA transposon,Ginger2/TDD,
DNA transposon,Academ,
DNA transposon,Zisupton,
DNA transposon,IS3EU,
DNA transposon,Dada,
LTR Retrotransposon,Gypsy,
LTR Retrotransposon,Copia,
LTR Retrotransposon,BEL,
LTR Retrotransposon,DIRS,
Endogenous Retrovirus,ERV1,
Endogenous Retrovirus,ERV2,
Endogenous Retrovirus,ERV3,
Endogenous Retrovirus,Lentivirus,
Endogenous Retrovirus,ERV4,
Non-LTR Retrotransposon,SINE,SINE1/7SL
Non-LTR Retrotransposon,SINE,SINE2/tRNA
Non-LTR Retrotransposon,SINE,SINE3/5S
Non-LTR Retrotransposon,SINE,SINE4
Non-LTR Retrotransposon,SINE,SINEU/snRNA
Non-LTR Retrotransposon,CRE,
Non-LTR Retrotransposon,NeSL,
Non-LTR Retrotransposon,R4,
Non-LTR Retrotransposon,R2,
Non-LTR Retrotransposon,L1,
Non-LTR Retrotransposon,RTE,
Non-LTR Retrotransposon,I,
Non-LTR Retrotransposon,Jockey,
Non-LTR Retrotransposon,CR1,
Non-LTR Retrotransposon,Rex1,
Non-LTR Retrotransposon,RandI,
Non-LTR Retrotransposon,Penelope,
Non-LTR Retrotransposon,Tx1,
Non-LTR Retrotransposon,RTEX,
Non-LTR Retrotransposon,Crack,
Non-LTR Retrotransposon,Nimb,
Non-LTR Retrotransposon,Proto1,
Non-LTR Retrotransposon,Proto2,
Non-LTR Retrotransposon,RTETP,
Non-LTR Retrotransposon,Hero,
Non-LTR Retrotransposon,L2,
Non-LTR Retrotransposon,Tad1,
Non-LTR Retrotransposon,Loa,
Non-LTR Retrotransposon,Ingi,
Non-LTR Retrotransposon,Outcast,
Non-LTR Retrotransposon,R1,
Non-LTR Retrotransposon,Daphne,
Non-LTR Retrotransposon,L2A,
Non-LTR Retrotransposon,L2B,
Non-LTR Retrotransposon,Ambal,
Non-LTR Retrotransposon,Vingi,
Non-LTR Retrotransposon,Kiri,
